THUMB,INDEX,MIDDLE,RING,LITTLE,LABEL
666,732,700,965,969,1
666,732,701,965,969,1
665,732,701,965,968,1
665,732,701,965,969,1
665,732,701,965,968,1
665,732,701,965,968,1
665,731,701,965,968,1
665,732,701,965,968,1
665,732,701,965,968,1
665,732,701,965,968,1
665,732,701,964,968,1
665,732,701,965,968,1
665,732,701,965,968,1
665,732,701,965,968,1
665,732,701,965,968,1
665,732,701,965,968,1
665,731,701,965,968,1
665,732,701,965,968,1
665,732,702,965,968,1
665,732,702,965,968,1
665,732,702,965,968,1
665,732,702,965,968,1
665,732,701,964,968,1
665,732,701,964,968,1
665,732,701,964,968,1
665,732,701,964,968,1
665,732,701,964,968,1
665,732,700,964,968,1
669,733,701,964,968,1
667,733,701,964,968,1
666,733,701,964,968,1
666,733,701,964,968,1
665,733,701,964,968,1
666,733,701,964,968,1
673,733,703,964,968,1
669,733,703,964,968,1
669,733,702,964,967,1
669,733,702,964,968,1
668,733,701,964,967,1
667,733,701,964,967,1
665,733,701,964,967,1
665,733,701,964,967,1
665,733,700,964,967,1
666,732,702,964,967,1
666,732,701,964,967,1
671,732,702,964,967,1
664,732,701,964,967,1
668,732,701,964,967,1
666,732,703,964,967,1
666,732,700,964,967,1
666,732,701,964,967,1
666,732,701,963,967,1
666,732,702,964,967,1
665,732,702,963,967,1
666,732,704,963,967,1
665,732,703,963,967,1
665,732,705,963,966,1
666,732,705,963,966,1
666,732,702,963,966,1
665,732,703,963,966,1
664,732,702,963,966,1
665,733,701,963,966,1
664,733,701,963,966,1
665,733,701,963,966,1
665,733,702,963,966,1
665,733,702,963,966,1
665,733,702,963,965,1
665,733,702,963,966,1
665,733,702,963,966,1
667,733,703,963,965,1
666,733,703,963,966,1
663,734,702,963,965,1
662,733,702,963,965,1
665,733,703,963,965,1
667,733,703,963,965,1
667,733,704,963,965,1
662,734,702,963,965,1
662,734,702,963,965,1
662,734,702,963,965,1
662,734,701,963,965,1
662,734,702,963,965,1
662,734,702,963,965,1
663,734,702,963,965,1
663,734,702,963,966,1
663,733,702,963,965,1
663,733,702,963,965,1
663,733,702,963,965,1
663,733,702,963,965,1
663,733,702,963,965,1
663,733,702,963,965,1
663,733,701,963,965,1
663,733,712,963,965,1
663,733,712,962,965,1
663,733,696,963,965,1
663,733,704,962,965,1
663,733,698,962,965,1
663,733,694,962,965,1
663,733,697,962,965,1
662,733,697,963,965,1
663,734,699,962,965,1
663,733,700,962,965,1
663,733,700,962,965,1
663,733,701,962,965,1
663,733,701,962,965,1
663,733,701,962,965,1
663,734,701,962,965,1
663,733,701,962,965,1
663,734,701,962,965,1
663,734,702,963,965,1
663,734,701,962,965,1
663,734,697,962,965,1
662,734,688,962,965,1
662,735,684,962,965,1
662,735,690,962,964,1
662,734,693,962,965,1
662,735,695,962,964,1
662,734,696,962,965,1
662,735,697,962,964,1
662,734,697,962,965,1
662,735,697,962,965,1
662,734,698,962,964,1
662,734,698,962,964,1
662,734,699,962,965,1
662,734,699,962,964,1
662,734,699,962,964,1
662,734,699,962,964,1
662,734,700,962,964,1
662,734,705,961,964,1
663,734,709,962,964,1
663,734,707,961,964,1
663,734,705,962,964,1
663,734,704,961,964,1
663,734,703,961,964,1
663,734,702,961,964,1
663,734,703,961,964,1
663,734,702,962,964,1
663,734,701,961,965,1
663,734,701,961,964,1
663,734,700,961,965,1
663,734,700,961,965,1
663,734,700,961,964,1
663,734,700,961,965,1
663,734,700,961,965,1
663,734,701,961,964,1
663,735,701,961,964,1
663,735,701,961,964,1
663,735,701,961,964,1
663,735,701,962,965,1
663,736,702,962,965,1
663,736,702,962,965,1
663,736,702,962,965,1
663,735,701,962,965,1
663,735,701,961,965,1
663,735,702,962,965,1
663,735,701,962,965,1
663,735,701,961,964,1
663,735,701,961,965,1
663,735,701,961,964,1
663,735,701,961,965,1
663,735,701,962,965,1
663,735,701,961,964,1
663,735,701,961,965,1
663,735,701,961,964,1
